n,	e
1153,	21.598000
1154,	21.601405
1155,	21.604808
1156,	21.608207
1157,	21.611604
1158,	21.614998
1159,	21.618389
1160,	21.621777
1161,	21.625162
1162,	21.628544
1163,	21.631923
1164,	21.635300
1165,	21.638674
1166,	21.642045
1167,	21.645413
1168,	21.648778
1169,	21.652140
1170,	21.655500
1171,	21.658857
1172,	21.662211
1173,	21.665562
1174,	21.668910
1175,	21.672256
1176,	21.675598
1177,	21.678938
1178,	21.682275
1179,	21.685610
1180,	21.688941
1181,	21.692270
1182,	21.695596
1183,	21.698920
1184,	21.702240
1185,	21.705558
1186,	21.708873
1187,	21.712185
1188,	21.715495
1189,	21.718802
1190,	21.722106
1191,	21.725407
1192,	21.728706
1193,	21.732002
1194,	21.735295
1195,	21.738585
1196,	21.741873
1197,	21.745158
1198,	21.748441
1199,	21.751720
1200,	21.754997
1201,	21.758272
1202,	21.761543
1203,	21.764812
1204,	21.768079
1205,	21.771342
1206,	21.774603
1207,	21.777862
1208,	21.781118
1209,	21.784371
1210,	21.787621
1211,	21.790869
1212,	21.794114
1213,	21.797356
1214,	21.800596
1215,	21.803834
1216,	21.807068
1217,	21.810300
1218,	21.813530
1219,	21.816757
1220,	21.819981
1221,	21.823202
1222,	21.826421
1223,	21.829638
1224,	21.832852
1225,	21.836063
1226,	21.839272
1227,	21.842478
1228,	21.845682
1229,	21.848883
1230,	21.852081
1231,	21.855277
1232,	21.858470
1233,	21.861661
1234,	21.864849
1235,	21.868035
1236,	21.871218
1237,	21.874399
1238,	21.877577
1239,	21.880753
1240,	21.883926
1241,	21.887097
1242,	21.890265
1243,	21.893430
1244,	21.896593
1245,	21.899754
1246,	21.902912
1247,	21.906068
1248,	21.909221
1249,	21.912371
1250,	21.915520
1251,	21.918665
1252,	21.921808
1253,	21.924949
1254,	21.928087
1255,	21.931223
1256,	21.934357
1257,	21.937488
1258,	21.940616
1259,	21.943742
1260,	21.946866
1261,	21.949987
1262,	21.953106
1263,	21.956222
1264,	21.959336
1265,	21.962447
1266,	21.965556
1267,	21.968663
1268,	21.971767
1269,	21.974869
1270,	21.977968
1271,	21.981065
1272,	21.984160
1273,	21.987252
1274,	21.990342
1275,	21.993430
1276,	21.996515
1277,	21.999597
1278,	22.002678
1279,	22.005756
1280,	22.008831
1281,	22.011905
1282,	22.014976
1283,	22.018044
1284,	22.021110
1285,	22.024174
1286,	22.027236
1287,	22.030295
1288,	22.033352
1289,	22.036406
1290,	22.039458
1291,	22.042508
1292,	22.045556
1293,	22.048601
1294,	22.051644
1295,	22.054685
1296,	22.057723
1297,	22.060759
1298,	22.063792
1299,	22.066824
1300,	22.069853
1301,	22.072880
1302,	22.075904
1303,	22.078927
1304,	22.081946
1305,	22.084964
1306,	22.087980
1307,	22.090993
1308,	22.094004
1309,	22.097012
1310,	22.100019
1311,	22.103023
1312,	22.106025
1313,	22.109024
1314,	22.112022
1315,	22.115017
1316,	22.118010
1317,	22.121000
1318,	22.123989
1319,	22.126975
