n, e
1264, 21.95933581
1265, 21.96244727
1266, 21.96555632
1267, 21.96866296
1268, 21.97176719
1269, 21.97486901
1270, 21.97796843
1271, 21.98106546
1272, 21.98416009
1273, 21.98725233
1274, 21.99034219
1275, 21.99342967
1276, 21.99651476
1277, 21.99959748
1278, 22.00267783
1279, 22.00575582
1280, 22.00883143
1281, 22.01190469
1282, 22.01497559
1283, 22.01804414
1284, 22.02111034
1285, 22.02417419
1286, 22.02723571
1287, 22.03029488
1288, 22.03335172
1289, 22.03640622
1290, 22.03945840
1291, 22.04250826
1292, 22.04555579
1293, 22.04860101
1294, 22.05164391
1295, 22.05468450
1296, 22.05772279
1297, 22.06075878
1298, 22.06379246
1299, 22.06682385
1300, 22.06985294
1301, 22.07287975
1302, 22.07590427
1303, 22.07892651
1304, 22.08194647
1305, 22.08496416
1306, 22.08797957
1307, 22.09099272
1308, 22.09400360
1309, 22.09701222
1310, 22.10001858
1311, 22.10302268
1312, 22.10602454
1313, 22.10902415
1314, 22.11202151
1315, 22.11501663
1316, 22.11800952
1317, 22.12100017
1318, 22.12398859
1319, 22.12697478
1320, 22.12995875
1321, 22.13294049
1322, 22.13592002
1323, 22.13889734
1324, 22.14187244
1325, 22.14484534
1326, 22.14781603
1327, 22.15078452
1328, 22.15375081
1329, 22.15671491
1330, 22.15967681
1331, 22.16263653
1332, 22.16559406
1333, 22.16854942
1334, 22.17150259
1335, 22.17445359
1336, 22.17740242
1337, 22.18034907
1338, 22.18329357
1339, 22.18623590
1340, 22.18917607
1341, 22.19211408
1342, 22.19504994
1343, 22.19798366
1344, 22.20091522
1345, 22.20384465
1346, 22.20677193
1347, 22.20969708
1348, 22.21262009
1349, 22.21554097
1350, 22.21845972
1351, 22.22137635
1352, 22.22429086
1353, 22.22720325
1354, 22.23011353
1355, 22.23302169
1356, 22.23592774
1357, 22.23883169
1358, 22.24173354
1359, 22.24463328
1360, 22.24753093
1361, 22.25042649
1362, 22.25331995
1363, 22.25621133
1364, 22.25910062
1365, 22.26198783
1366, 22.26487296
1367, 22.26775602
1368, 22.27063700
1369, 22.27351592
1370, 22.27639277
1371, 22.27926755
1372, 22.28214027
1373, 22.28501094
1374, 22.28787955
1375, 22.29074611
1376, 22.29361062
1377, 22.29647309
1378, 22.29933351
1379, 22.30219189
1380, 22.30504824
1381, 22.30790255
1382, 22.31075483
1383, 22.31360508
1384, 22.31645331
1385, 22.31929951
1386, 22.32214370
1387, 22.32498586
1388, 22.32782602
1389, 22.33066416
1390, 22.33350029
1391, 22.33633442
1392, 22.33916655
1393, 22.34199668
1394, 22.34482481
1395, 22.34765095
1396, 22.35047509
1397, 22.35329725
1398, 22.35611742
1399, 22.35893561
1400, 22.36175182
1401, 22.36456605
1402, 22.36737831
1403, 22.37018859
1404, 22.37299691
1405, 22.37580326
1406, 22.37860765
1407, 22.38141008
1408, 22.38421055
1409, 22.38700907
1410, 22.38980563
1411, 22.39260025
1412, 22.39539291
1413, 22.39818364
1414, 22.40097242
1415, 22.40375926
1416, 22.40654417
1417, 22.40932715
1418, 22.41210819
1419, 22.41488731
1420, 22.41766450
1421, 22.42043977
1422, 22.42321312
1423, 22.42598455
1424, 22.42875407
1425, 22.43152167
1426, 22.43428737
1427, 22.43705116
1428, 22.43981305
1429, 22.44257304
1430, 22.44533112
1431, 22.44808731
1432, 22.45084161
1433, 22.45359402
1434, 22.45634454
1435, 22.45909317
1436, 22.46183993
1437, 22.46458480
1438, 22.46732779
1439, 22.47006891
1440, 22.47280816
1441, 22.47554553
1442, 22.47828104
1443, 22.48101468
1444, 22.48374647
1445, 22.48647639
1446, 22.48920445
1447, 22.49193066
1448, 22.49465502
1449, 22.49737753
1450, 22.50009819
1451, 22.50281701
1452, 22.50553398
1453, 22.50824912
1454, 22.51096242
1455, 22.51367388
1456, 22.51638351
1457, 22.51909131
1458, 22.52179729
1459, 22.52450144
1460, 22.52720377
1461, 22.52990428
1462, 22.53260297
1463, 22.53529985
1464, 22.53799491
1465, 22.54068817
1466, 22.54337962
1467, 22.54606926
1468, 22.54875710
1469, 22.55144314
1470, 22.55412738
1471, 22.55680983
1472, 22.55949049
1473, 22.56216935
1474, 22.56484643
1475, 22.56752172
1476, 22.57019523
1477, 22.57286695
1478, 22.57553690
1479, 22.57820507
1480, 22.58087147
1481, 22.58353610
1482, 22.58619896
1483, 22.58886005
1484, 22.59151938
1485, 22.59417694
1486, 22.59683275
1487, 22.59948680
1488, 22.60213909
1489, 22.60478964
1490, 22.60743843
1491, 22.61008547
1492, 22.61273077
1493, 22.61537432
1494, 22.61801614
1495, 22.62065621
1496, 22.62329455
